Feature,Scores
4403,0.301296491
6400,0.301281042
4303,0.301257881
7302,0.301145704
3905,0.301031108
5296,0.30095712
3606,0.300855604
4903,0.300767731
4104,0.300612096
4004,0.300578985
6302,0.300213047
6203,0.299852374
6800,0.299457112
5201,0.299289401
7300,0.299019161
7404,0.298646918
4207,0.298628214
5799,0.298490306
3407,0.298252278
2800,0.298214042
5698,0.298076822
3702,0.297830568
6797,0.297695652
4000,0.297631498
4203,0.297527285
4300,0.297345527
4700,0.297245918
6096,0.296612122
3604,0.296527631
3305,0.296387361
5905,0.296100818
3800,0.295939
8197,0.29567177
3902,0.29525328
4098,0.295169511
6696,0.295115629
6601,0.295069585
4506,0.294998287
3504,0.294803605
7702,0.294614014
3004,0.294471254
5699,0.294306013
5101,0.294255931
3103,0.294209235
4406,0.294205228
7602,0.294180824
4005,0.294156838
6199,0.294106211
3304,0.293976488
8600,0.293648637
8102,0.293609105
3001,0.293552207
8100,0.293067514
4202,0.293032769
7201,0.293000648
6196,0.292992098
4306,0.292966174
6404,0.292893893
7200,0.292705652
5097,0.292689264
5002,0.292622454
5398,0.292453825
3100,0.292303865
5104,0.292270434
3602,0.292215688
6297,0.291873652
6002,0.291738574
4806,0.291362507
6303,0.291308461
9600,0.291271038
3202,0.291194293
4007,0.291172245
3300,0.290987168
7397,0.290900928
3906,0.2908732
3197,0.290856733
4696,0.290760111
4504,0.290684678
3996,0.290572841
6698,0.290515892
4901,0.290399473
8800,0.290359907
6098,0.290108107
7100,0.290060706
5202,0.289872409
3104,0.28983424
7000,0.289698555
2500,0.289464137
3705,0.289261634
7997,0.289243462
3205,0.28922592
5705,0.289048802
7297,0.289048057
4605,0.288946104
6905,0.288880664
6402,0.288760004
6597,0.28856393
7504,0.288322035
6897,0.288281079
6703,0.288158952
7797,0.288135809
8397,0.288108797
7403,0.288021665
4304,0.287561322
3200,0.287456088
3204,0.287438188
6197,0.287436303
3302,0.287389022
7600,0.287279201
6697,0.287233806
9500,0.287155649
5299,0.287027456
3907,0.28647195
6201,0.286450013
2600,0.286377902
7496,0.286141426
5598,0.28591673
51,0.285867659
3701,0.285658328
6399,0.285554403
4707,0.285360985
6198,0.285325992
4701,0.285262973
